Ensembl.Protein.ID	Cow.Ensembl.Protein.or.Transcript.ID	Chicken.Ensembl.Protein.or.Transcript.ID	Gorilla.Ensembl.Protein.or.Transcript.ID	Human.Ensembl.Protein.or.Transcript.ID	Macaque.Ensembl.Protein.or.Transcript.ID	Mouse.Ensembl.Protein.or.Transcript.ID	Rat.Ensembl.Protein.or.Transcript.ID	Xenopus.Ensembl.Protein.or.Transcript.ID
ENSPTRP00000008148	ENSBTAP00000050480	ENSGALP00000046447	ENSGGOP00000023439	ENSP00000379310	ENSMMUP00000020159	ENSMUSP00000062279	ENSRNOP00000035058	ENSXETP00000060118
ENSPTRP00000039390	ENSBTAP00000021930	ENSGALP00000027942	ENSGGOP00000010030	ENSP00000064778	ENSMMUP00000004201	ENSMUSP00000038233	ENSRNOP00000025827	ENSXETP00000007753
ENSPTRP00000023467	ENSBTAP00000021695	ENSGALP00000012623	ENSGGOP00000024989	ENSP00000360473	ENSMMUP00000059574	ENSMUSP00000070596	ENSRNOP00000064706	ENSXETP00000060000
ENSPTRP00000012238	ENSBTAP00000022379	ENSGALP00000046476	ENSGGOP00000004730	ENSP00000305777	ENSMMUP00000027811	ENSMUSP00000034949	ENSRNOP00000074148	ENSXETP00000061523
ENSPTRP00000021860	ENSBTAP00000007126	ENSGALP00000013375	ENSGGOP00000027166	ENSP00000286175	ENSMMUP00000008729	ENSMUSP00000112947	ENSRNOP00000018284	ENSXETP00000039413
ENSPTRP00000031040	ENSBTAP00000035936	ENSGALP00000034499	ENSGGOP00000012485	ENSP00000230361	ENSMMUP00000005331	ENSMUSP00000024774	ENSRNOP00000020950	ENSXETP00000003231
ENSPTRP00000050146	ENSBTAP00000035936	ENSGALP00000034499	ENSGGOP00000012485	ENSP00000230361	ENSMMUP00000005331	ENSMUSP00000024774	ENSRNOP00000020950	ENSXETP00000003231
ENSPTRP00000023468	ENSBTAP00000054764	ENSGALP00000012613	ENSGGOP00000020041	ENSP00000262593	ENSMMUP00000009292	ENSMUSP00000029075	ENSRNOP00000017654	ENSXETP00000034277
ENSPTRP00000051964								
ENSPTRP00000059150	ENSBTAP00000012530	ENSGALP00000054861	ENSGGOP00000024253	ENSP00000425561	ENSMMUP00000052956	ENSMUSP00000029803	ENSRNOP00000073799	ENSXETP00000020526
ENSPTRP00000001476	ENSBTAP00000020574	ENSGALP00000044402	ENSGGOP00000022468	ENSP00000359982	ENSMMUP00000018206	ENSMUSP00000038662	ENSRNOP00000015170	ENSXETP00000021179
ENSPTRP00000047651	ENSBTAP00000026641	ENSGALP00000051510	ENSGGOP00000022483	ENSP00000376989	ENSMMUP00000003258	ENSMUSP00000110975	ENSRNOP00000070530	ENSXETP00000048146
ENSPTRP00000045313	ENSBTAP00000024331	ENSGALP00000013373	ENSGGOP00000013714	ENSP00000386394	ENSMMUP00000018983	ENSMUSP00000084799	ENSRNOP00000018014	ENSXETP00000060986
ENSPTRP00000057245	ENSBTAP00000000218		ENSGGOP00000014835	ENSP00000376213	ENSMMUP00000021475	ENSMUSP00000148728		
ENSPTRP00000031041	ENSBTAP00000020347	ENSGALP00000016059	ENSGGOP00000012488	ENSP00000053468	ENSMMUP00000002903	ENSMUSP00000113343	ENSRNOP00000074250	ENSXETP00000056733
ENSPTRP00000006962	ENSBTAP00000054461	ENSGALP00000027940	ENSGGOP00000011409	ENSP00000346127	ENSMMUP00000006372	ENSMUSP00000078175	ENSRNOP00000025245	
ENSPTRP00000027998	ENSBTAP00000021303	ENSGALP00000019961	ENSGGOP00000001502	ENSP00000296411	ENSMMUP00000014486	ENSMUSP00000029804	ENSRNOP00000017579	ENSXETP00000060500
ENSPTRP00000047650	ENSBTAP00000004036	ENSGALP00000050609	ENSGGOP00000008651	ENSP00000318821	ENSMMUP00000020228	ENSMUSP00000087997	ENSRNOP00000010246	ENSXETP00000049862
ENSPTRP00000014227	ENSBTAP00000054971	ENSGALP00000001243	ENSGGOP00000004709	ENSP00000377148	ENSMMUP00000014262	ENSMUSP00000090844		ENSXETP00000042962
ENSPTRP00000033647	ENSBTAP00000012326	ENSGALP00000046064	ENSGGOP00000016340	ENSP00000000233	ENSMMUP00000060227	ENSMUSP00000020717	ENSRNOP00000010429	
ENSPTRP00000018263	ENSBTAP00000003320	ENSGALP00000054306	ENSGGOP00000013404	ENSP00000269919	ENSMMUP00000005884	ENSMUSP00000070778	ENSRNOP00000026597	ENSXETP00000061481
ENSPTRP00000026222			ENSGGOP00000018816	ENSP00000295755		ENSMUSP00000023328	ENSRNOP00000002676	
ENSPTRP00000026224	ENSBTAP00000034426	ENSGALP00000036095	ENSGGOP00000005649	ENSP00000295756	ENSMMUP00000049406	ENSMUSP00000129808	ENSRNOP00000056668	ENSXETP00000062314
ENSPTRP00000018266	ENSBTAP00000020744		ENSGGOP00000016515	ENSP00000252809		ENSMUSP00000003808	ENSRNOP00000026652	ENSXETP00000059212
ENSPTRP00000031046	ENSBTAP00000020376	ENSGALP00000016071	ENSGGOP00000012504	ENSP00000439689	ENSMMUP00000007364		ENSRNOP00000072249	ENSXETP00000000414
ENSPTRP00000023470	ENSBTAP00000040714	ENSGALP00000051110	ENSGGOP00000010226	ENSP00000064571	ENSMMUP00000007891	ENSMUSP00000085263	ENSRNOP00000005866	ENSXETP00000034262
ENSPTRP00000028003	ENSBTAP00000021304	ENSGALP00000049749	ENSGGOP00000019635	ENSP00000296412	ENSMMUP00000041183	ENSMUSP00000005964	ENSRNOP00000069857	ENSXETP00000063992
ENSPTRP00000052194				ENSP00000359978	ENSMMUP00000050959			
ENSPTRP00000018267	ENSBTAP00000022955		ENSGGOP00000026797	ENSP00000340983	ENSMMUP00000027890	ENSMUSP00000049686	ENSRNOP00000032464	
ENSPTRP00000001478	ENSBTAP00000056275	ENSGALP00000018469	ENSGGOP00000016141	ENSP00000359976	ENSMMUP00000042863	ENSMUSP00000113672	ENSRNOP00000058914	ENSXETP00000024438
ENSPTRP00000048888	ENSBTAP00000005153		ENSGGOP00000016526	ENSP00000270061		ENSMUSP00000059039	ENSRNOP00000026713	ENSXETP00000049619
ENSPTRP00000023473	ENSBTAP00000017292	ENSGALP00000038150	ENSGGOP00000017877	ENSP00000360437	ENSMMUP00000000089	ENSMUSP00000028995	ENSRNOP00000005901	
ENSPTRP00000012240	ENSBTAP00000051194	ENSGALP00000048051	ENSGGOP00000003634	ENSP00000489519	ENSMMUP00000033501	ENSMUSP00000038877	ENSRNOP00000022256	ENSXETP00000057278
ENSPTRP00000021863	ENSBTAP00000042074	ENSGALP00000013386	ENSGGOP00000013726	ENSP00000234296	ENSMMUP00000018985	ENSMUSP00000027198	ENSRNOP00000042867	ENSXETP00000062184
ENSPTRP00000023475	ENSBTAP00000042073	ENSGALP00000032883	ENSGGOP00000007041	ENSP00000216911	ENSMMUP00000038148	ENSMUSP00000028997	ENSRNOP00000051977	ENSXETP00000026285
ENSPTRP00000041925		ENSGALP00000029794	ENSGGOP00000006109	ENSP00000261047	ENSMMUP00000018246			ENSXETP00000020214
ENSPTRP00000050136	ENSBTAP00000007833	ENSGALP00000016092	ENSGGOP00000025803	ENSP00000361990	ENSMMUP00000033689	ENSMUSP00000108961	ENSRNOP00000021158	ENSXETP00000000438
ENSPTRP00000044726	ENSBTAP00000013333	ENSGALP00000053846	ENSGGOP00000019513	ENSP00000354623	ENSMMUP00000039760	ENSMUSP00000081557	ENSRNOP00000002309	ENSXETP00000031231
ENSPTRP00000047863	ENSBTAP00000002760	ENSGALP00000042727	ENSGGOP00000007647	ENSP00000366582	ENSMMUP00000050163	ENSMUSP00000129183	ENSRNOP00000049022	ENSXETP00000054192
ENSPTRP00000029920	ENSBTAP00000019467	ENSGALP00000003279	ENSGGOP00000023743	ENSP00000304286	ENSMMUP00000018558	ENSMUSP00000058651	ENSRNOP00000009058	ENSXETP00000005340
ENSPTRP00000012241	ENSBTAP00000019269	ENSGALP00000048913	ENSGGOP00000018842	ENSP00000261884	ENSMMUP00000012937	ENSMUSP00000112385	ENSRNOP00000071531	ENSXETP00000023326
ENSPTRP00000018270	ENSBTAP00000023241	ENSGALP00000057935	ENSGGOP00000016532	ENSP00000337746	ENSMMUP00000031742	ENSMUSP00000148077	ENSRNOP00000026821	ENSXETP00000049612
ENSPTRP00000026227	ENSBTAP00000050609		ENSGGOP00000004124	ENSP00000232603	ENSMMUP00000018250	ENSMUSP00000023330	ENSRNOP00000046114	ENSXETP00000058858
ENSPTRP00000060670			ENSGGOP00000021623	ENSP00000490013				
ENSPTRP00000061065			ENSGGOP00000021623	ENSP00000490013				
ENSPTRP00000047810	ENSBTAP00000042506	ENSGALP00000056071	ENSGGOP00000024960	ENSP00000308717	ENSMMUP00000047373	ENSMUSP00000116090	ENSRNOP00000024286	ENSXETP00000050152
ENSPTRP00000033649	ENSBTAP00000055473		ENSGGOP00000016348	ENSP00000265825	ENSMMUP00000020234	ENSMUSP00000031719	ENSRNOP00000061158	
ENSPTRP00000036372	ENSBTAP00000000240	ENSGALP00000011629	ENSGGOP00000003933	ENSP00000363162	ENSMMUP00000017272	ENSMUSP00000048770	ENSRNOP00000074947	ENSXETP00000059354
ENSPTRP00000029923	ENSBTAP00000012345	ENSGALP00000003296	ENSGGOP00000021603	ENSP00000046794	ENSMMUP00000018561	ENSMUSP00000056621	ENSRNOP00000050879	ENSXETP00000060160
ENSPTRP00000018273	ENSBTAP00000004667		ENSGGOP00000002400	ENSP00000262809	ENSMMUP00000017980	ENSMUSP00000091163	ENSRNOP00000026846	
ENSPTRP00000036374	ENSBTAP00000048776	ENSGALP00000011624	ENSGGOP00000016799	ENSP00000288502	ENSMMUP00000006509	ENSMUSP00000076891	ENSRNOP00000011799	
ENSPTRP00000018274	ENSBTAP00000054702	ENSGALP00000005299	ENSGGOP00000012552	ENSP00000476767	ENSMMUP00000050884	ENSMUSP00000114069	ENSRNOP00000074539	ENSXETP00000050170
ENSPTRP00000006967			ENSGGOP00000011839	ENSP00000347919	ENSMMUP00000009682	ENSMUSP00000053727	ENSRNOP00000035296	ENSXETP00000063349
ENSPTRP00000055323	ENSBTAP00000033077	ENSGALP00000025899	ENSGGOP00000007067	ENSP00000386881	ENSMMUP00000036491	ENSMUSP00000080579	ENSRNOP00000074138	ENSXETP00000034371
ENSPTRP00000006968	ENSBTAP00000004794	ENSGALP00000027934	ENSGGOP00000021665	ENSP00000311665	ENSMMUP00000036839			ENSXETP00000006578
ENSPTRP00000033650	ENSBTAP00000042667		ENSGGOP00000021318	ENSP00000339906	ENSMMUP00000052139	ENSMUSP00000031718	ENSRNOP00000010658	
ENSPTRP00000028002	ENSBTAP00000003769		ENSGGOP00000023845	ENSP00000424630	ENSMMUP00000014482	ENSMUSP00000013458		
ENSPTRP00000036375	ENSBTAP00000036310	ENSGALP00000039261	ENSGGOP00000010545	ENSP00000363157	ENSMMUP00000016931	ENSMUSP00000050144	ENSRNOP00000011845	ENSXETP00000056100
ENSPTRP00000012246	ENSBTAP00000020995	ENSGALP00000052790	ENSGGOP00000000852	ENSP00000316527	ENSMMUP00000048478	ENSMUSP00000124089	ENSRNOP00000021554	ENSXETP00000023325
ENSPTRP00000023478	ENSBTAP00000008722	ENSGALP00000012563	ENSGGOP00000007048	ENSP00000217109	ENSMMUP00000000092	ENSMUSP00000112076	ENSRNOP00000051976	ENSXETP00000026283
ENSPTRP00000012247	ENSBTAP00000042402	ENSGALP00000045694	ENSGGOP00000013049	ENSP00000463013	ENSMMUP00000001666	ENSMUSP00000136914	ENSRNOP00000021372	ENSXETP00000061018
ENSPTRP00000021864	ENSBTAP00000042066	ENSGALP00000047154	ENSGGOP00000011674	ENSP00000393667	ENSMMUP00000016031	ENSMUSP00000095331	ENSRNOP00000033249	ENSXETP00000059915
ENSPTRP00000044240	ENSBTAP00000026270	ENSGALP00000022657	ENSGGOP00000003034	ENSP00000346442	ENSMMUP00000052797	ENSMUSP00000032396	ENSRNOP00000046606	ENSXETP00000062893
ENSPTRP00000001483	ENSBTAP00000025607	ENSGALP00000018481	ENSGGOP00000000579	ENSP00000349003	ENSMMUP00000022769	ENSMUSP00000043302	ENSRNOP00000014034	ENSXETP00000024431
ENSPTRP00000039059	ENSBTAP00000014154		ENSGGOP00000009397	ENSP00000346762	ENSMMUP00000020240	ENSMUSP00000001460	ENSRNOP00000041531	ENSXETP00000058373
ENSPTRP00000036376	ENSBTAP00000036314	ENSGALP00000011522		ENSP00000223795	ENSMMUP00000060647	ENSMUSP00000030047	ENSRNOP00000064026	
ENSPTRP00000012248	ENSBTAP00000014659	ENSGALP00000053109	ENSGGOP00000008785	ENSP00000300069	ENSMMUP00000017455	ENSMUSP00000057600	ENSRNOP00000070734	
ENSPTRP00000028007	ENSBTAP00000009191		ENSGGOP00000001063	ENSP00000378359	ENSMMUP00000021005	ENSMUSP00000148627	ENSRNOP00000016556	ENSXETP00000020503
ENSPTRP00000036381	ENSBTAP00000000752	ENSGALP00000058289	ENSGGOP00000009901	ENSP00000265131	ENSMMUP00000004470	ENSMUSP00000103000	ENSRNOP00000071884	ENSXETP00000051641
ENSPTRP00000051421	ENSBTAP00000045752	ENSGALP00000011722	ENSGGOP00000019564	ENSP00000325895	ENSMMUP00000014360	ENSMUSP00000057040	ENSRNOP00000063997	ENSXETP00000014589
ENSPTRP00000023480	ENSBTAP00000019348	ENSGALP00000012540	ENSGGOP00000004134	ENSP00000353462	ENSMMUP00000054348	ENSMUSP00000104764	ENSRNOP00000037343	ENSXETP00000026278
ENSPTRP00000028008	ENSBTAP00000009185	ENSGALP00000054258	ENSGGOP00000017524	ENSP00000209668	ENSMMUP00000034972	ENSMUSP00000004232	ENSRNOP00000069797	ENSXETP00000020503
ENSPTRP00000021865	ENSBTAP00000016957	ENSGALP00000013392	ENSGGOP00000017605	ENSP00000237889	ENSMMUP00000036523	ENSMUSP00000027193	ENSRNOP00000066360	ENSXETP00000057357
ENSPTRP00000056769	ENSBTAP00000003402	ENSGALP00000018494	ENSGGOP00000028319	ENSP00000359958	ENSMMUP00000044327	ENSMUSP00000101673	ENSRNOP00000052134	ENSXETP00000052020
ENSPTRP00000001487	ENSBTAP00000003402	ENSGALP00000018494	ENSGGOP00000028319	ENSP00000359958	ENSMMUP00000044327	ENSMUSP00000101673	ENSRNOP00000052134	ENSXETP00000052020
ENSPTRP00000018275	ENSBTAP00000013943	ENSGALP00000043498	ENSGGOP00000004533	ENSP00000472836		ENSMUSP00000091165	ENSRNOP00000027053	ENSXETP00000050161
ENSPTRP00000006976	ENSBTAP00000004810		ENSGGOP00000003782	ENSP00000312029	ENSMMUP00000050839	ENSMUSP00000120967	ENSRNOP00000024156	ENSXETP00000058424
ENSPTRP00000048882	ENSBTAP00000014607	ENSGALP00000013394	ENSGGOP00000010692	ENSP00000312455	ENSMMUP00000016150	ENSMUSP00000109952	ENSRNOP00000016730	ENSXETP00000058583
ENSPTRP00000060271	ENSBTAP00000010176		ENSGGOP00000004534	ENSP00000388107	ENSMMUP00000021162	ENSMUSP00000086852	ENSRNOP00000027073	ENSXETP00000050158
ENSPTRP00000060880								
ENSPTRP00000029924	ENSBTAP00000049066	ENSGALP00000003302	ENSGGOP00000007004	ENSP00000274629	ENSMMUP00000029725	ENSMUSP00000020362	ENSRNOP00000007393	
ENSPTRP00000029925	ENSBTAP00000003718	ENSGALP00000048545	ENSGGOP00000007126	ENSP00000414886	ENSMMUP00000033730	ENSMUSP00000104964	ENSRNOP00000007187	ENSXETP00000039635
ENSPTRP00000028001	ENSBTAP00000009185	ENSGALP00000054258	ENSGGOP00000017524	ENSP00000306606	ENSMMUP00000034968	ENSMUSP00000004232	ENSRNOP00000069797	ENSXETP00000020503
ENSPTRP00000023482	ENSBTAP00000039110	ENSGALP00000012478	ENSGGOP00000025547	ENSP00000023939	ENSMMUP00000038153	ENSMUSP00000029005	ENSRNOP00000006884	ENSXETP00000026277
ENSPTRP00000038872	ENSBTAP00000036391	ENSGALP00000054800	ENSGGOP00000024866	ENSP00000351422	ENSMMUP00000000219	ENSMUSP00000074670	ENSRNOP00000060266	ENSXETP00000050156
ENSPTRP00000059974								
ENSPTRP00000028009	ENSBTAP00000025881		ENSGGOP00000012155	ENSP00000322582	ENSMMUP00000011925	ENSMUSP00000012186	ENSRNOP00000071865	
ENSPTRP00000043084	ENSBTAP00000032245	ENSGALP00000001189	ENSGGOP00000005740	ENSP00000398089	ENSMMUP00000032332	ENSMUSP00000034163	ENSRNOP00000000279	ENSXETP00000050590
ENSPTRP00000026228	ENSBTAP00000048801			ENSP00000417710	ENSMMUP00000029116	ENSMUSP00000110183		
ENSPTRP00000001490		ENSGALP00000018497	ENSGGOP00000007278	ENSP00000350364	ENSMMUP00000022783	ENSMUSP00000073664	ENSRNOP00000035271	ENSXETP00000052008
ENSPTRP00000052019	ENSBTAP00000008192	ENSGALP00000057769	ENSGGOP00000025446	ENSP00000482600		ENSMUSP00000096659	ENSRNOP00000029664	ENSXETP00000059953
ENSPTRP00000026230	ENSBTAP00000021003		ENSGGOP00000014760	ENSP00000335306	ENSMMUP00000040055	ENSMUSP00000093749	ENSRNOP00000062176	
ENSPTRP00000023484	ENSBTAP00000055989		ENSGGOP00000004148	ENSP00000360379	ENSMMUP00000038157	ENSMUSP00000029007	ENSRNOP00000006949	
ENSPTRP00000048883	ENSBTAP00000010179	ENSGALP00000047236	ENSGGOP00000010694	ENSP00000376188		ENSMUSP00000008032	ENSRNOP00000056846	ENSXETP00000058049
ENSPTRP00000023485	ENSBTAP00000055989		ENSGGOP00000023502	ENSP00000360376	ENSMMUP00000038157	ENSMUSP00000029007	ENSRNOP00000006949	
ENSPTRP00000052190	ENSBTAP00000025849		ENSGGOP00000022399	ENSP00000346414	ENSMMUP00000051652	ENSMUSP00000029833	ENSRNOP00000012841	
ENSPTRP00000018280	ENSBTAP00000010124	ENSGALP00000034392	ENSGGOP00000018691	ENSP00000470879	ENSMMUP00000013069	ENSMUSP00000043659	ENSRNOP00000075600	ENSXETP00000024460
ENSPTRP00000012249	ENSBTAP00000010047	ENSGALP00000014682	ENSGGOP00000012055	ENSP00000328174	ENSMMUP00000008398	ENSMUSP00000049046	ENSRNOP00000021265	ENSXETP00000021069
ENSPTRP00000029926	ENSBTAP00000003604	ENSGALP00000003368	ENSGGOP00000003765	ENSP00000430100	ENSMMUP00000000765	ENSMUSP00000020366	ENSRNOP00000048081	ENSXETP00000039637
ENSPTRP00000023487	ENSBTAP00000002671	ENSGALP00000012451	ENSGGOP00000000413	ENSP00000201031	ENSMMUP00000012261	ENSMUSP00000129922	ENSRNOP00000006991	ENSXETP00000026273
ENSPTRP00000033656	ENSBTAP00000047707		ENSGGOP00000009400	ENSP00000249363	ENSMMUP00000020242	ENSMUSP00000062158	ENSRNOP00000010673	ENSXETP00000059081
ENSPTRP00000052186	ENSBTAP00000049353	ENSGALP00000042190		ENSP00000359935		ENSMUSP00000068939	ENSRNOP00000071383	ENSXETP00000062620
ENSPTRP00000033657	ENSBTAP00000019853		ENSGGOP00000000941	ENSP00000312652	ENSMMUP00000007035	ENSMUSP00000067046	ENSRNOP00000066184	
ENSPTRP00000060339	ENSBTAP00000051120		ENSGGOP00000007462		ENSMMUP00000054356			
ENSPTRP00000051169	ENSBTAP00000051120		ENSGGOP00000007462		ENSMMUP00000054356			
ENSPTRP00000006979	ENSBTAP00000006918	ENSGALP00000027932	ENSGGOP00000000336	ENSP00000323740	ENSMMUP00000046958	ENSMUSP00000032958	ENSRNOP00000024005	
ENSPTRP00000028013	ENSBTAP00000000230	ENSGALP00000052711	ENSGGOP00000008232	ENSP00000273962		ENSMUSP00000125749	ENSRNOP00000071908	ENSXETP00000026479
ENSPTRP00000048877			ENSGGOP00000011996	ENSP00000286186	ENSMMUP00000057964			ENSXETP00000008971
ENSPTRP00000033659	ENSBTAP00000022610		ENSGGOP00000004553	ENSP00000223073	ENSMMUP00000009511	ENSMUSP00000007993	ENSRNOP00000059579	ENSXETP00000032834
ENSPTRP00000026234	ENSBTAP00000032266	ENSGALP00000024751	ENSGGOP00000010548	ENSP00000418070	ENSMMUP00000013077	ENSMUSP00000023334	ENSRNOP00000002957	ENSXETP00000020211
ENSPTRP00000061382			ENSGGOP00000027003					
ENSPTRP00000014234	ENSBTAP00000055859	ENSGALP00000001161	ENSGGOP00000012712	ENSP00000219240	ENSMMUP00000056684	ENSMUSP00000115934	ENSRNOP00000061315	ENSXETP00000062763
ENSPTRP00000036384			ENSGGOP00000021195	ENSP00000363128	ENSMMUP00000011735			
ENSPTRP00000023489	ENSBTAP00000053246	ENSGALP00000012416	ENSGGOP00000003735	ENSP00000379204	ENSMMUP00000005446	ENSMUSP00000009143	ENSRNOP00000070891	ENSXETP00000024604
ENSPTRP00000008145	ENSBTAP00000018370	ENSGALP00000021488	ENSGGOP00000009589	ENSP00000443459	ENSMMUP00000043799	ENSMUSP00000032402	ENSRNOP00000021193	ENSXETP00000063794
ENSPTRP00000036386	ENSBTAP00000053616	ENSGALP00000011455	ENSGGOP00000006962	ENSP00000330658	ENSMMUP00000017206	ENSMUSP00000081545	ENSRNOP00000068120	ENSXETP00000046997
ENSPTRP00000001495	ENSBTAP00000001278	ENSGALP00000018501	ENSGGOP00000016114	ENSP00000322251	ENSMMUP00000025611	ENSMUSP00000070561	ENSRNOP00000031479	ENSXETP00000051997
ENSPTRP00000026236	ENSBTAP00000019209		ENSGGOP00000010482	ENSP00000283285	ENSMMUP00000000927	ENSMUSP00000023336	ENSRNOP00000034871	
ENSPTRP00000047854	ENSBTAP00000036694	ENSGALP00000048203	ENSGGOP00000010135	ENSP00000427975	ENSMMUP00000033728	ENSMUSP00000099879	ENSRNOP00000075380	
ENSPTRP00000041847	ENSBTAP00000053368	ENSGALP00000027928	ENSGGOP00000017838	ENSP00000334379	ENSMMUP00000014743	ENSMUSP00000062637	ENSRNOP00000023802	ENSXETP00000055765
ENSPTRP00000043154	ENSBTAP00000015850	ENSGALP00000056995	ENSGGOP00000000438	ENSP00000427679	ENSMMUP00000011931	ENSMUSP00000096179	ENSRNOP00000014630	ENSXETP00000020494
ENSPTRP00000031049	ENSBTAP00000007836	ENSGALP00000016098	ENSGGOP00000004021	ENSP00000230381		ENSMUSP00000024773		ENSXETP00000000451
ENSPTRP00000054502	ENSBTAP00000008335		ENSGGOP00000018843		ENSMMUP00000045313	ENSMUSP00000074436	ENSRNOP00000020196	
ENSPTRP00000058782	ENSBTAP00000008335		ENSGGOP00000018843		ENSMMUP00000045313	ENSMUSP00000074436	ENSRNOP00000020196	
ENSPTRP00000031050	ENSBTAP00000001245	ENSGALP00000056399	ENSGGOP00000005771	ENSP00000361967	ENSMMUP00000001740	ENSMUSP00000048696	ENSRNOP00000065504	ENSXETP00000000453
ENSPTRP00000023491	ENSBTAP00000053612	ENSGALP00000048999	ENSGGOP00000008652	ENSP00000360310		ENSMUSP00000059056	ENSRNOP00000075147	ENSXETP00000059527
ENSPTRP00000031051	ENSBTAP00000019726	ENSGALP00000016100	ENSGGOP00000016679	ENSP00000313933	ENSMMUP00000033684	ENSMUSP00000044833	ENSRNOP00000021762	ENSXETP00000059728
ENSPTRP00000018281	ENSBTAP00000018754	ENSGALP00000053575	ENSGGOP00000019565	ENSP00000300976	ENSMMUP00000046669	ENSMUSP00000069077	ENSRNOP00000027240	ENSXETP00000063807
ENSPTRP00000061075	ENSBTAP00000018754	ENSGALP00000053575	ENSGGOP00000019565	ENSP00000300976	ENSMMUP00000046669	ENSMUSP00000069077	ENSRNOP00000027240	ENSXETP00000063807
ENSPTRP00000026237	ENSBTAP00000056103		ENSGGOP00000010485	ENSP00000321370	ENSMMUP00000052663			
ENSPTRP00000014239	ENSBTAP00000008329	ENSGALP00000024695	ENSGGOP00000012725	ENSP00000268483	ENSMMUP00000049719	ENSMUSP00000034159	ENSRNOP00000030193	ENSXETP00000046201
ENSPTRP00000026238	ENSBTAP00000016779	ENSGALP00000024760	ENSGGOP00000011908	ENSP00000420686	ENSMMUP00000044978	ENSMUSP00000114852	ENSRNOP00000030345	ENSXETP00000020199
ENSPTRP00000012251	ENSBTAP00000011069	ENSGALP00000011716	ENSGGOP00000005683	ENSP00000326706		ENSMUSP00000063677	ENSRNOP00000039705	ENSXETP00000014593
ENSPTRP00000061093	ENSBTAP00000011069	ENSGALP00000011716	ENSGGOP00000005683	ENSP00000326706		ENSMUSP00000063677	ENSRNOP00000039705	ENSXETP00000014593
ENSPTRP00000018286	ENSBTAP00000013704	ENSGALP00000005227	ENSGGOP00000000973	ENSP00000345001	ENSMMUP00000008573	ENSMUSP00000075916	ENSRNOP00000030925	ENSXETP00000024465
ENSPTRP00000055318	ENSBTAP00000001599	ENSGALP00000024765	ENSGGOP00000015075	ENSP00000405405	ENSMMUP00000000934	ENSMUSP00000075672	ENSRNOP00000038800	
ENSPTRP00000014240		ENSGALP00000037931	ENSGGOP00000012742	ENSP00000268482	ENSMMUP00000000912	ENSMUSP00000047865	ENSRNOP00000019810	ENSXETP00000050636
ENSPTRP00000061006	ENSBTAP00000056598			ENSP00000415026	ENSMMUP00000047395	ENSMUSP00000123751	ENSRNOP00000057108	
ENSPTRP00000012254	ENSBTAP00000015332	ENSGALP00000058508	ENSGGOP00000004667	ENSP00000204566	ENSMMUP00000047228	ENSMUSP00000034955	ENSRNOP00000069701	ENSXETP00000014588
ENSPTRP00000033661	ENSBTAP00000000374		ENSGGOP00000021130	ENSP00000345096	ENSMMUP00000054869	ENSMUSP00000124931	ENSRNOP00000027173	ENSXETP00000049823
ENSPTRP00000036394	ENSBTAP00000050596	ENSGALP00000011381		ENSP00000354504	ENSMMUP00000039777	ENSMUSP00000065786	ENSRNOP00000070791	ENSXETP00000047008
ENSPTRP00000008142	ENSBTAP00000030245	ENSGALP00000043607	ENSGGOP00000020976	ENSP00000398273	ENSMMUP00000043546	ENSMUSP00000047567	ENSRNOP00000052404	ENSXETP00000055793
ENSPTRP00000045835	ENSBTAP00000039548	ENSGALP00000027925	ENSGGOP00000000342	ENSP00000381461	ENSMMUP00000059365	ENSMUSP00000032963	ENSRNOP00000023649	ENSXETP00000027477
ENSPTRP00000021879	ENSBTAP00000038128	ENSGALP00000013591	ENSGGOP00000000205	ENSP00000351273	ENSMMUP00000037892	ENSMUSP00000140546	ENSRNOP00000016613	
ENSPTRP00000052014	ENSBTAP00000014523	ENSGALP00000045718	ENSGGOP00000007623	ENSP00000379182	ENSMMUP00000000348	ENSMUSP00000029013	ENSRNOP00000029085	ENSXETP00000053919
ENSPTRP00000031053	ENSBTAP00000005214	ENSGALP00000019507		ENSP00000418221	ENSMMUP00000017771	ENSMUSP00000092888	ENSRNOP00000021803	
ENSPTRP00000008138	ENSBTAP00000007669	ENSGALP00000021538	ENSGGOP00000003936	ENSP00000266517	ENSMMUP00000008735	ENSMUSP00000032413	ENSRNOP00000020042	
ENSPTRP00000028016	ENSBTAP00000010415	ENSGALP00000047427	ENSGGOP00000001114	ENSP00000423602	ENSMMUP00000008977	ENSMUSP00000029806	ENSRNOP00000014139	ENSXETP00000020497
ENSPTRP00000060568	ENSBTAP00000010415	ENSGALP00000047427	ENSGGOP00000001114	ENSP00000423602	ENSMMUP00000008977	ENSMUSP00000029806	ENSRNOP00000014139	ENSXETP00000020497
ENSPTRP00000008137	ENSBTAP00000002193	ENSGALP00000021547	ENSGGOP00000021169	ENSP00000443204	ENSMMUP00000043852	ENSMUSP00000145373	ENSRNOP00000073285	ENSXETP00000012209
ENSPTRP00000001496			ENSGGOP00000011147	ENSP00000294635	ENSMMUP00000053741			
ENSPTRP00000031056	ENSBTAP00000044273		ENSGGOP00000001353	ENSP00000477815	ENSMMUP00000060957	ENSMUSP00000035683	ENSRNOP00000069313	
